Altium Designer Pick and Place Locations
E:\STM32\MIT Project\PCB\8 Motors\8 Motors V2\Project Outputs for 8 Motors\Pick Place for 8 Motors.csv

========================================================================================================================
File Design Information:

Date:       07/10/24
Time:       01:15
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"CN9","#NAME?","TopLayer","ZX-XH2.54-2PZZ","80.264","17.272","90","直插插针"
"R24","200mΩ","TopLayer","R1206_200mΩ","51.181","56.388","270","1206电阻"
"R55","0Ω","TopLayer","R0603","81.788","6.731","360","阻值 0Ω   精度 ±1%   功率 100mW   最大工作电压 75V   工作温度范围 -55℃~+155℃"
"R54","0Ω","TopLayer","R0603","91.567","27.432","360","阻值 0Ω   精度 ±1%   功率 100mW   最大工作电压 75V   工作温度范围 -55℃~+155℃"
"R53","0Ω","TopLayer","R0603","50.918","33.147","180","阻值 0Ω   精度 ±1%   功率 100mW   最大工作电压 75V   工作温度范围 -55℃~+155℃"
"C1","10nF","TopLayer","C0603","18.542","89.535","360","0603电容"
"C2","10nF","TopLayer","C0603","60.706","89.281","360","0603电容"
"C3","10nF","TopLayer","C0603","98.171","90.043","360","0603电容"
"C4","100nF","TopLayer","C0603","17.399","86.233","270","0603电容"
"C5","100nF","TopLayer","C0603","57.840","87.088","270","0603电容"
"C6","100nF","TopLayer","C0603","95.432","87.469","270","0603电容"
"C7","100nF","TopLayer","C0603","12.319","86.233","270","0603电容"
"C8","100nF","TopLayer","C0603","52.125","87.088","270","0603电容"
"C9","100nF","TopLayer","C0603","89.717","87.469","270","0603电容"
"C10","100uF","TopLayer","SMD6.3_7.7_100uF","14.859","73.152","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C11","100uF","TopLayer","SMD6.3_7.7_100uF","54.538","73.245","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C12","100uF","TopLayer","SMD6.3_7.7_100uF","90.479","74.642","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C13","100nF","TopLayer","C0603","18.796","78.486","90","0603电容"
"C14","470nF","TopLayer","C0603","30.861","77.343","360","0603电容"
"C15","470nF","TopLayer","C0603","70.485","77.724","180","0603电容"
"C16","470nF","TopLayer","C0603","107.823","78.232","180","0603电容"
"C17","100nF","TopLayer","C0603","59.182","78.740","90","0603电容"
"C18","100nF","TopLayer","C0603","96.359","78.685","90","0603电容"
"C19","10nF","TopLayer","C0603","135.382","89.408","360","0603电容"
"C20","10nF","TopLayer","C0603","20.574","63.754","360","0603电容"
"C21","10nF","TopLayer","C0603","60.198","63.754","360","0603电容"
"C22","100nF","TopLayer","C0603","132.351","86.351","270","0603电容"
"C23","100nF","TopLayer","C0603","17.454","61.053","270","0603电容"
"C24","100nF","TopLayer","C0603","57.713","60.926","270","0603电容"
"C25","100nF","TopLayer","C0603","126.619","86.360","270","0603电容"
"C26","100nF","TopLayer","C0603","11.739","61.053","270","0603电容"
"C27","100nF","TopLayer","C0603","51.998","60.926","270","0603电容"
"C28","100uF","TopLayer","SMD6.3_7.7_100uF","128.287","74.032","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C29","100uF","TopLayer","SMD6.3_7.7_100uF","53.649","47.845","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C30","100uF","TopLayer","SMD6.3_7.7_100uF","13.009","48.353","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C31","470nF","TopLayer","C0603","145.288","77.851","180","0603电容"
"C32","470nF","TopLayer","C0603","30.480","51.689","180","0603电容"
"C33","470nF","TopLayer","C0603","70.358","52.578","180","0603电容"
"C34","100nF","TopLayer","C0603","133.849","79.231","90","0603电容"
"C35","100nF","TopLayer","C0603","19.270","53.666","90","0603电容"
"C36","100nF","TopLayer","C0603","58.801","53.086","90","0603电容"
"C37","10nF","TopLayer","C0603","97.917","63.627","360","0603电容"
"C38","10nF","TopLayer","C0603","135.255","63.754","360","0603电容"
"C39","100nF","TopLayer","C0603","94.797","60.926","270","0603电容"
"C40","100nF","TopLayer","C0603","132.262","60.687","270","0603电容"
"C41","100nF","TopLayer","C0603","89.082","60.926","270","0603电容"
"C42","100nF","TopLayer","C0603","126.547","60.687","270","0603电容"
"C43","100uF","TopLayer","SMD6.3_7.7_100uF","90.606","48.734","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C44","100uF","TopLayer","SMD6.3_7.7_100uF","127.817","47.225","180","贴片型铝电解电容 容值 100uF 精度 ±20% 额定电压 35V 纹波电流 87mA@120kHz"
"C45","470nF","TopLayer","C0603","107.569","52.705","180","0603电容"
"C46","470nF","TopLayer","C0603","144.907","52.578","180","0603电容"
"C47","100nF","TopLayer","C0603","96.232","53.666","90","0603电容"
"C48","100nF","TopLayer","C0603","133.331","52.523","90","0603电容"
"C49","100nF","TopLayer","C0402_2.2uF","129.540","13.716","270","0402电容"
"C50","10uF","TopLayer","C0402_2.2uF","131.191","29.210","270","0402电容"
"C51","100nF","TopLayer","C0402_2.2uF","129.540","29.210","270","0402电容"
"C52","22uF","TopLayer","C0603","137.668","29.083","270","0603电容"
"C53","10pF","TopLayer","C0402_2.2uF","131.064","22.479","270","0402电容"
"C54","10pF","TopLayer","C0402_2.2uF","138.430","23.368","180","0402电容"
"C55","100nF","TopLayer","C0402_2.2uF","117.094","34.671","90","0402电容"
"C57","100nF","TopLayer","C0402_2.2uF","105.918","34.671","90","0402电容"
"C58","100nF","TopLayer","C0402_2.2uF","123.571","34.671","90","0402电容"
"C59","100nF","TopLayer","C0402_2.2uF","130.302","19.558","90","0402电容"
"C60","100nF","TopLayer","C0402_2.2uF","129.921","25.781","360","0402电容"
"C61","100nF","TopLayer","C0402_2.2uF","101.727","11.176","180","0402电容"
"C62","100nF","TopLayer","C0402_2.2uF","112.903","6.477","180","0402电容"
"C63","100nF","TopLayer","C0402_2.2uF","117.856","6.477","180","0402电容"
"C64","100nF","TopLayer","C0402_2.2uF","100.838","23.749","180","0402电容"
"C65","100nF","TopLayer","C0402_2.2uF","124.333","6.604","270","0402电容"
"C66","100nF","TopLayer","C0402_2.2uF","102.743","18.669","90","0402电容"
"C67","100nF","TopLayer","C0603","141.605","14.859","180","0603电容"
"C68","2.2uF","TopLayer","C0402_2.2uF","107.442","34.671","270","容值 2.2uF   精度 ±20%   额定电压 6.3V   材质(温度系数) X5R"
"C69","2.2uF","TopLayer","C0402_2.2uF","101.727","13.081","360","容值 2.2uF   精度 ±20%   额定电压 6.3V   材质(温度系数) X5R"
"C70","4.7uF","TopLayer","C1206","17.272","7.493","270","1206电容"
"C71","100nF","TopLayer","C0603","17.526","11.430","180","0603电容"
"C72","2.2uF","TopLayer","C0603","22.352","11.488","180","0603电容"
"C73","15nF","TopLayer","C1206","31.637","7.112","360","1206电容"
"C74","470nF","TopLayer","C0603","30.988","19.050","360","0603电容"
"C75","82pF","TopLayer","C0805","45.369","7.338","360","0805电容"
"C76","180uF","TopLayer","SMD6.3_10_180uF","44.845","12.446","180","贴片型铝电解电容"
"C77","100nF","TopLayer","C0402_2.2uF","66.421","16.510","270","0402电容"
"C78","10uF","TopLayer","C1206","58.420","15.748","90","1206电容"
"C79","100nF","TopLayer","C0402_2.2uF","61.087","17.018","90","0402电容"
"C80","10uF","TopLayer","SMD5_5.4_10uF","72.390","27.559","90","贴片型铝电解电容"
"C81","10uF","TopLayer","SMD5_5.4_10uF","84.074","34.417","180","贴片型铝电解电容"
"C82","100nF","TopLayer","C0603","77.216","26.035","90","0603电容"
"C83","100nF","TopLayer","C0603","89.916","34.417","360","0603电容"
"C84","33nF","TopLayer","C0402_2.2uF","67.183","18.669","180","0402电容"
"C85","47uF","TopLayer","C1206","73.279","18.669","360","1206电容"
"CN1","#NAME?","TopLayer","ZX-XH2.54-4PZZ","46.863","81.554","90","直插插针"
"CN2","#NAME?","TopLayer","ZX-XH2.54-4PZZ","83.058","81.935","90","直插插针"
"CN3","#NAME?","TopLayer","ZX-XH2.54-4PZZ","6.731","80.665","90","直插插针"
"CN4","#NAME?","TopLayer","ZX-XH2.54-4PZZ","118.237","80.772","90","直插插针"
"CN5","#NAME?","TopLayer","ZX-XH2.54-4PZZ","5.842","58.440","90","直插插针"
"CN6","#NAME?","TopLayer","ZX-XH2.54-4PZZ","45.212","55.225","90","直插插针"
"CN7","#NAME?","TopLayer","ZX-XH2.54-4PZZ","81.407","55.245","90","直插插针"
"CN8","#NAME?","TopLayer","ZX-XH2.54-4PZZ","119.888","55.372","90","直插插针"
"H1","#NAME?","TopLayer","HC-1.25-3PLT","24.257","74.168","180","排针3P"
"H2","#NAME?","TopLayer","HC-1.25-3PLT","63.936","74.261","180","排针3P"
"H3","#NAME?","TopLayer","HC-1.25-3PLT","101.401","74.261","180","排针3P"
"H4","#NAME?","TopLayer","HC-1.25-3PLT","138.701","74.286","180","排针3P"
"H5","#NAME?","TopLayer","HC-1.25-3PLT","24.058","48.607","180","排针3P"
